CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"14,000.00","1,750",0.70,0.80,"3,825",-,0.70,121.53,"13,083","6,612","32,590",
,"16,917",-3,8,-,"8,570.15",68.05,25,"8,514.80","8,561.25",25,"15,000.00",225,0.75,0.80,"1,450",-,0.75,105.84,"1,384",748,"13,570",
,1,-,-,-,-,-,25,"7,430.65","7,616.10",25,"16,000.00",900,0.80,0.90,800,-0.05,0.80,92.66,"1,113",559,"4,182",
,774,-8,20,-,"6,580.60",75.60,25,"6,537.10","6,581.60",25,"17,000.00",300,0.80,0.90,"2,975",-0.10,0.85,79.54,"1,658",592,"19,130",
,"14,786",-81,130,-,"5,562.00",78.65,100,"5,502.05","5,562.25",25,"18,000.00","11,475",0.80,0.85,"3,925",-0.15,0.90,66.30,"13,963","7,022","63,209",
,156,-,4,-,"5,050.00",70.00,50,"5,000.00","5,325.00",25,"18,500.00",-,-,-,-,-,-,-,-,-,-,-
,"12,467",-75,100,-,"4,565.50",71.85,100,"4,557.05","4,563.35",25,"19,000.00","4,300",0.80,0.90,"24,725",-0.30,0.85,54.02,"11,798","6,633","57,936",
,"26,365",-582,743,-,"3,567.70",46.55,100,"3,562.30","3,568.15",25,"20,000.00","6,425",1.20,1.25,"4,450",-0.60,1.20,43.80,"24,396","5,246","1,90,008",
,18,-,-,-,-,-,500,"3,123.50","3,472.15",500,"20,150.00",825,1.20,1.30,925,-0.40,1.25,42.33,471,216,587,
,606,-6,10,-,"3,350.00",-50.35,25,"3,348.40","3,369.00",125,"20,200.00",925,1.25,1.40,925,-0.20,1.40,41.89,"2,340","1,054","2,100",
,165,-,-,-,-,-,500,"3,029.60","3,582.70",500,"20,250.00",400,1.30,1.45,250,-0.40,1.35,41.58,"1,099",210,338,
,567,-6,8,-,"3,251.00",-84.60,25,"3,250.20","3,268.65",25,"20,300.00","1,150",1.25,1.30,"1,550",-0.40,1.30,40.53,"3,039","1,839","4,905",
,207,-,-,-,-,-,500,"2,940.50","3,473.30",500,"20,350.00",575,1.45,1.70,150,-0.45,1.45,40.78,339,145,271,
,143,-,-,-,-,-,50,"3,134.55","3,250.45","1,000","20,400.00",750,1.40,1.70,50,-0.20,1.45,39.63,789,329,809,
,134,-,-,-,-,-,500,"2,853.90","3,207.65",500,"20,450.00",450,1.45,1.75,75,-0.50,1.50,39.17,353,147,229,
,"7,750",-761,806,-,"3,065.00",68.10,100,"3,058.75","3,068.60",100,"20,500.00",275,1.45,1.50,"4,350",-0.55,1.45,38.56,"9,056","3,487","32,651",
,202,-,-,-,-,-,500,"2,757.50","3,096.90",500,"20,550.00",275,1.50,1.85,300,-0.50,1.70,38.47,237,82,159,
,560,-,-,-,-,-,50,"2,945.35","2,969.20",50,"20,600.00","1,500",1.65,1.80,225,-0.25,1.85,38.21,"3,408",712,"11,410",
,141,-,-,-,-,-,500,"2,666.50","2,979.95",525,"20,650.00",100,1.60,2.10,825,-0.05,1.95,37.82,106,29,139,
,413,-,-,-,-,-,100,"2,839.40","2,898.65",50,"20,700.00","1,825",1.70,1.80,"5,000",-0.55,1.75,36.88,"3,838",763,"7,561",
,144,-,-,-,-,-,500,"2,601.70","2,888.35",500,"20,750.00",675,1.45,1.90,150,-0.15,1.90,36.49,316,4,431,
,451,-,4,-,"2,724.50",-33.15,50,"2,747.40","2,771.90",25,"20,800.00","2,825",1.80,1.90,"3,175",-0.60,1.85,35.98,"7,542","1,025","26,040",
,123,-,-,-,-,-,500,"2,481.70","2,782.75",500,"20,850.00",900,1.55,1.95,475,-0.60,1.95,35.37,259,-,320,
,426,-,1,-,"2,560.00",-174.45,50,"2,648.95","2,674.30",50,"20,900.00","1,200",1.85,1.95,"6,075",-0.55,1.90,34.76,"1,980",32,"6,222",
,135,-,1,-,"2,525.00",-25.00,500,"2,419.55","2,675.10",500,"20,950.00",600,1.60,2.15,900,-,2.10,34.44,257,121,683,
,"30,920",-568,"1,670",-,"2,565.95",63.40,50,"2,567.10","2,570.90",25,"21,000.00","6,950",1.90,1.95,"4,450",-0.65,1.90,33.54,"46,079","5,547","1,61,710",
,52,-,2,-,"2,521.40",-10.45,25,"2,491.00","2,542.55",25,"21,050.00","1,050",1.90,2.10,200,-0.05,2.05,33.21,370,167,742,
,358,-,42,-,"2,429.00",-93.05,50,"2,449.45","2,471.35",75,"21,100.00",950,1.80,2.00,425,-0.35,2.00,32.41,"2,465",-142,"5,572",
,90,-,36,-,"2,395.00",-48.00,75,"2,393.05","2,442.45",25,"21,150.00","2,700",1.75,1.85,25,-0.60,1.85,31.71,"2,059",528,"1,296",
,486,138,141,-,"2,354.00",-67.90,100,"2,356.05","2,372.30",50,"21,200.00",925,2.05,2.10,150,-0.45,2.10,31.37,"3,316",626,"6,808",
,186,18,65,-,"2,275.00",-66.65,50,"2,294.25","2,342.55",25,"21,250.00","1,650",2.00,2.15,"1,775",-0.55,2.05,30.67,867,-124,"2,266",
,642,81,154,-,"2,270.40",70.40,25,"2,259.75","2,271.90",25,"21,300.00",400,2.20,2.25,"4,950",-0.55,2.20,30.31,"8,395",535,"9,870",
,145,-,24,-,"2,185.00",-16.50,75,"2,195.30","2,242.90",25,"21,350.00",275,1.95,2.45,400,-0.20,2.30,29.85,259,3,502,
,463,2,43,-,"2,181.20",41.75,25,"2,161.85","2,171.95",50,"21,400.00","4,650",2.15,2.20,875,-0.40,2.20,29.08,"5,951",45,"8,840",
,229,-10,38,-,"2,104.00",-18.45,50,"2,109.35","2,121.05",50,"21,450.00","3,100",2.25,2.35,775,-0.60,2.30,28.69,650,136,"1,250",
,"11,121",-213,460,-,"2,060.10",52.40,50,"2,063.20","2,070.25",50,"21,500.00","1,74,000",2.25,2.30,"9,825",-0.75,2.25,27.93,"50,511","2,654","1,05,017",
,264,-,8,-,"1,972.20",-59.75,50,"2,002.35","2,032.10",25,"21,550.00","1,775",2.25,2.40,"1,575",-1.15,2.30,27.39,"2,232",831,"1,460",
,766,-2,48,-,"1,982.70",27.95,50,"1,964.25","1,974.55",25,"21,600.00",375,2.30,2.35,"4,400",-0.70,2.35,26.70,"6,489",370,"8,010",
,286,-,1,-,"1,873.75",-115.90,50,"1,907.45","1,929.35",25,"21,650.00",225,2.15,2.40,400,-1.10,2.50,26.42,365,84,430,
,"4,924",-2,145,-,"1,869.00",20.45,100,"1,866.25","1,872.35",75,"21,700.00","5,525",2.30,2.40,"6,525",-0.80,2.35,25.60,"10,752",695,"12,645",
,247,-,42,-,"1,770.00",-93.15,25,"1,799.60","1,847.75",375,"21,750.00","1,725",2.35,2.50,"1,000",-0.80,2.50,25.18,958,161,"1,607",
,"7,811",1,263,-,"1,771.00",54.95,25,"1,766.35","1,774.20",100,"21,800.00","5,050",2.35,2.45,"5,200",-1.00,2.40,24.43,"17,880","1,387","24,448",
,479,-,20,-,"1,715.00",-41.65,25,"1,699.50","1,739.35",25,"21,850.00","1,600",2.30,2.50,275,-0.85,2.55,24.00,761,40,"1,865",
,"1,346",-14,35,-,"1,660.65",65.75,25,"1,657.65","1,675.20",775,"21,900.00","5,750",2.45,2.50,"1,525",-1.40,2.45,23.37,"38,434","9,086","19,234",
,"1,219",-,-,-,-,-,250,"1,560.80","1,642.70",775,"21,950.00","1,075",2.40,2.45,750,-1.45,2.40,22.81,"4,886","1,029","2,776",
,"83,628","-1,727","3,703",-,"1,567.75",59.20,125,"1,565.05","1,568.55",100,"22,000.00","14,275",2.55,2.60,"3,325",-1.45,2.60,22.18,"1,14,795","5,553","2,35,200",
,981,-,-,-,-,-,200,"1,482.25","1,540.25",175,"22,050.00","1,850",2.60,2.65,"1,125",-1.65,2.60,21.66,"4,886",493,"3,561",
,"7,605",1,86,-,"1,480.00",74.00,50,"1,465.85","1,473.35",150,"22,100.00","3,875",2.65,2.70,"13,500",-1.70,2.65,21.03,"22,232","3,313","24,010",
,726,-,-,-,-,-,200,"1,385.70","1,440.95",200,"22,150.00","2,650",2.60,2.70,"1,800",-1.85,2.60,20.50,"3,397",579,"2,595",
,"11,461",-6,107,-,"1,380.00",71.60,50,"1,365.85","1,371.95",25,"22,200.00","12,025",2.70,2.75,650,-2.00,2.70,19.87,"48,990","5,282","40,433",
,536,-2,8,-,"1,269.70",-104.20,75,"1,311.00","1,328.25",825,"22,250.00","1,425",2.90,2.95,475,-1.95,2.90,19.42,"5,073",695,"3,921",
,"9,514",-44,358,-,"1,278.00",69.00,50,"1,266.25","1,272.25",75,"22,300.00","2,275",3.10,3.15,"6,875",-2.25,3.10,18.86,"53,113",253,"35,134",
,994,-62,73,-,"1,197.05",30.75,75,"1,212.55","1,224.95",50,"22,350.00",50,3.30,3.35,600,-2.50,3.30,18.50,"20,806","6,204","13,992",
,"8,216",-48,360,-,"1,161.00",57.40,25,"1,166.65","1,172.00",100,"22,400.00",200,3.35,3.40,"18,500",-2.95,3.35,17.89,"68,615","7,857","37,368",
,845,2,131,-,"1,098.00",48.00,50,"1,115.80","1,124.75",300,"22,450.00","3,325",3.55,3.65,975,-3.20,3.60,17.41,"12,620",719,"6,523",
,"60,391",-431,"5,726",-,"1,067.80",56.20,75,"1,066.70","1,069.95",50,"22,500.00","10,700",3.85,3.90,500,-3.60,3.85,16.97,"1,88,970","2,957","2,82,071",
,984,-3,49,-,997.80,38.15,75,"1,014.55","1,022.75",75,"22,550.00","2,100",4.35,4.45,"3,900",-4.15,4.45,16.57,"21,245",338,"6,012",
,"38,700",-182,"1,240",-,981.20,65.70,850,968.05,973.95,100,"22,600.00","6,050",4.85,4.90,750,-5.15,4.85,16.16,"86,777","4,074","77,330",
,"1,051",22,228,-,914.55,48.35,50,917.85,925.75,50,"22,650.00","1,775",5.35,5.45,"3,550",-5.40,5.45,15.72,"31,091","2,187","20,762",
,"25,577",-550,"2,207",-,866.30,49.40,25,868.70,874.20,100,"22,700.00","2,075",6.20,6.30,"5,225",-6.45,6.25,15.43,"1,16,975","17,744","1,10,864",
,"1,961",17,246,-,826.00,59.70,50,821.60,825.30,50,"22,750.00",700,7.40,7.45,"1,025",-7.75,7.40,15.14,"33,239","1,071","13,881",
,"30,385",65,"2,181",-,774.65,54.30,25,772.55,775.10,50,"22,800.00",25,8.75,8.80,"1,925",-9.15,8.75,14.86,"1,23,720","8,521","81,722",
,"1,209",34,168,-,734.25,62.75,25,723.00,737.05,350,"22,850.00","1,800",10.30,10.40,"1,600",-10.45,10.35,14.59,"35,008","6,833","14,102",
,"13,634",-231,"2,248",-,679.30,52.40,175,676.95,679.50,50,"22,900.00",675,12.55,12.65,"1,075",-11.90,12.60,14.37,"92,239","9,354","61,792",
,936,-76,408,-,641.00,59.75,50,629.00,631.30,50,"22,950.00","1,225",14.95,15.05,950,-13.95,15.00,14.13,"42,321","2,259","11,673",
,"1,14,162","2,110","26,881",-,582.25,43.75,50,581.50,582.95,200,"23,000.00","1,100",18.35,18.45,"4,725",-16.05,18.35,13.93,"3,21,508","39,325","2,99,853",
,"1,133",61,758,-,547.00,54.90,100,536.45,538.45,25,"23,050.00",725,21.85,22.00,"1,450",-18.10,21.90,13.67,"52,144","3,736","13,626",
,"13,678",33,"7,112",-,492.15,41.65,50,490.25,491.50,175,"23,100.00",50,26.45,26.55,175,-20.70,26.35,13.47,"1,46,513","11,401","63,586",
,"1,897",167,"2,451",5.69,440.45,29.00,50,446.10,447.40,25,"23,150.00",575,31.55,31.70,650,-22.85,31.65,13.20,"52,323",917,"11,652",
,"26,081",-109,"17,295",7.92,402.60,34.05,50,402.30,403.25,50,"23,200.00",875,37.80,37.95,"1,900",-25.40,38.05,12.99,"2,13,628","27,572","92,235",
,"3,281",401,"6,357",8.69,360.70,30.90,50,360.75,361.65,50,"23,250.00",125,45.65,45.80,800,-28.20,45.75,12.79,"74,021","7,422","23,358",
,"41,384","3,459","49,047",9.27,321.30,29.85,50,320.65,321.35,400,"23,300.00",525,54.85,55.00,775,-33.20,54.85,12.61,"2,77,808","38,149","1,18,937",
,"5,191",182,"17,982",9.30,283.40,23.00,50,282.35,283.00,50,"23,350.00","1,250",66.05,66.25,"1,850",-36.15,66.10,12.48,"1,04,207","12,427","25,396",
,"53,756","6,144","1,59,518",9.60,246.20,20.70,725,245.70,246.35,200,"23,400.00",800,80.15,80.35,125,-39.30,80.35,12.39,"2,81,331","29,059","1,03,514",
,"14,140","2,520","97,185",9.74,212.40,17.15,25,212.15,212.60,100,"23,450.00",675,96.00,96.30,350,-42.90,96.05,12.29,"1,51,791","11,342","24,270",
,"1,82,778","42,960","7,07,679",9.84,180.30,14.05,25,180.70,181.05,350,"23,500.00",25,114.45,114.70,125,-46.00,114.65,12.24,"6,72,103","73,863","2,09,557",
,"25,596","11,930","2,03,837",9.87,151.85,9.55,375,151.85,152.20,550,"23,550.00",300,135.50,135.85,500,-47.05,135.90,12.20,"1,63,246","16,387","27,475",
,"1,03,718","29,593","4,04,667",9.87,126.05,6.95,25,126.25,126.35,50,"23,600.00",550,159.50,159.85,200,-51.05,160.00,12.17,"2,50,859","22,204","61,397",
,"26,933","11,005","1,20,961",9.84,102.50,3.80,25,102.55,102.70,75,"23,650.00",650,185.80,186.40,325,-51.85,186.40,12.19,"32,470",803,"6,608",
,"76,560","18,149","2,51,233",9.82,82.40,1.90,725,82.35,82.50,100,"23,700.00",25,215.50,216.00,50,-56.40,216.10,12.20,"62,928","9,418","20,059",
,"19,548","5,099","97,226",9.83,65.10,-0.50,25,65.30,65.50,650,"23,750.00",150,248.45,249.05,50,-57.05,249.00,12.35,"8,993",794,"2,331",
,"1,14,584","29,863","2,97,104",9.76,50.70,-1.85,325,50.55,50.80,"1,450","23,800.00",75,283.40,284.05,50,-61.50,284.00,12.50,"30,986","7,002","12,041",
,"22,464","4,644","94,522",9.80,39.30,-2.90,125,39.30,39.50,"1,750","23,850.00",50,322.30,323.35,50,-58.40,325.80,12.58,"2,660",2,486,
,"65,009","15,842","1,95,104",9.80,29.90,-3.05,825,29.70,29.85,425,"23,900.00",50,362.85,363.75,50,-64.10,363.15,12.98,"4,769",-226,"1,917",
,"20,218","7,679","93,320",9.79,22.30,-4.00,400,22.15,22.30,"1,675","23,950.00",100,404.80,406.25,150,-57.15,410.90,13.21,549,-45,392,
,"3,14,129","42,603","4,04,623",9.89,16.90,-3.50,"1,350",16.85,16.95,"1,150","24,000.00",125,450.30,451.55,400,-63.50,450.00,13.95,"22,016",55,"51,090",
,"21,496","9,199","65,036",9.83,12.05,-3.45,"1,750",11.90,12.00,"1,050","24,050.00",100,493.05,495.40,50,-79.30,485.80,14.19,106,35,154,
,"66,714","17,849","1,40,645",9.84,8.70,-3.05,650,8.65,8.70,"1,575","24,100.00",100,540.15,542.35,50,-58.95,547.85,14.41,329,18,338,
,"29,466","16,290","60,046",9.92,6.30,-3.05,"3,050",6.25,6.35,"3,250","24,150.00",50,587.35,589.90,50,-76.50,579.60,15.38,99,66,230,
,"1,99,484","19,972","1,95,419",10.04,4.70,-2.50,"12,475",4.60,4.70,"10,875","24,200.00",75,635.70,638.60,50,-70.55,630.35,16.43,367,103,546,
,"28,461","5,332","47,562",10.34,3.85,-2.25,"3,550",3.80,3.90,"4,175","24,250.00",450,656.65,736.00,500,-,-,-,-,-,181,
,"81,591","29,927","1,28,508",10.52,2.95,-2.05,"9,600",2.95,3.00,"5,500","24,300.00",50,733.75,738.10,25,-57.20,735.00,17.09,71,27,187,
,"11,417","5,262","19,499",10.84,2.55,-1.80,150,2.55,2.60,"3,100","24,350.00",375,754.55,836.60,500,-,-,-,-,-,148,
,"37,461","5,154","74,515",11.16,2.10,-1.50,"11,575",2.05,2.15,"15,825","24,400.00",75,829.95,842.15,25,-46.60,848.45,22.64,44,-1,263,
,"8,075","2,988","13,686",11.59,1.90,-1.45,"4,150",1.90,1.95,"1,500","24,450.00",350,853.40,934.05,500,-,-,-,-,-,172,
,"1,19,556","21,831","1,65,087",12.08,1.80,-1.35,"70,800",1.75,1.80,"41,850","24,500.00",100,932.75,935.80,25,-71.70,924.00,20.79,"1,078",-43,"5,205",
,"6,220","2,740","8,158",12.41,1.60,-1.15,"3,150",1.60,1.65,"2,600","24,550.00",200,977.35,995.40,400,-,962.00,-,1,-,96,
,"40,165","21,033","70,684",12.97,1.60,-0.85,"17,025",1.55,1.65,"12,050","24,600.00",75,"1,027.80","1,037.80",50,-68.15,"1,020.00",21.72,89,24,93,
,"2,500","1,260","5,298",13.41,1.60,-0.85,"1,775",1.50,1.60,"2,250","24,650.00",275,"1,053.50","1,134.25",500,-,-,-,-,-,131,
,"15,015","3,074","22,360",13.89,1.45,-0.85,"3,125",1.45,1.50,"8,000","24,700.00",75,"1,119.55","1,150.65",375,67.10,"1,140.00",26.85,2,-,116,
,"1,976",677,"4,402",14.37,1.45,-0.85,"8,725",1.40,1.50,"1,275","24,750.00",250,"1,153.35","1,236.20",500,-,-,-,-,-,104,
,"15,744","2,639","21,679",14.91,1.35,-0.55,"9,800",1.35,1.45,"9,525","24,800.00",50,"1,216.05","1,259.60",75,60.65,"1,235.00",27.74,17,11,116,
,"1,070",217,"2,534",15.44,1.40,-0.65,"2,875",1.40,1.60,525,"24,850.00",225,"1,252.55","1,332.65",500,-,-,-,-,-,75,
,"9,369","4,992","19,353",15.90,1.30,-0.50,"47,675",1.25,1.30,"3,100","24,900.00",25,"1,311.30","1,345.65",50,64.10,"1,341.00",30.43,4,-,115,
,"1,070",26,"2,140",16.27,1.25,-0.55,"3,700",1.20,1.30,575,"24,950.00",200,"1,353.15","1,433.55",500,-,-,-,-,-,104,
,"2,33,733","24,071","1,20,560",16.71,1.20,-0.65,"1,72,125",1.15,1.20,"1,050","25,000.00",50,"1,429.05","1,433.70",125,-56.75,"1,432.20",29.11,"1,636",-523,"35,024",
,"1,671",647,"2,097",17.14,1.10,-0.45,"2,225",1.15,1.20,"2,675","25,050.00",500,"1,410.15","1,544.20",500,-,-,-,-,-,34,
,"4,304",602,"3,750",17.56,1.10,-0.60,"6,900",1.05,1.10,"2,625","25,100.00",500,"1,456.55","1,595.50",500,-,-,-,-,-,21,
,"4,942",238,"1,763",18.15,1.15,-0.60,"1,125",1.10,1.15,"2,750","25,150.00",500,"1,504.60","1,645.65",500,-,-,-,-,-,26,
,"1,196",579,"1,730",18.56,1.15,-0.45,"7,500",1.05,1.15,"3,000","25,200.00",50,"1,599.80","1,671.20",25,77.65,"1,666.55",39.56,8,-,10,
,502,319,732,19.06,1.15,-0.65,925,1.10,1.15,"2,525","25,250.00",500,"1,628.95","1,722.70",75,-4.75,"1,735.20",43.14,8,-,12,
,"1,628","1,515","4,492",19.45,1.10,-0.65,"6,100",1.05,1.10,"1,625","25,300.00",500,"1,690.10","1,761.60",25,-9.45,"1,779.30",43.17,8,-,11,
,"78,025","2,936","21,371",26.00,1.05,-0.50,"6,900",1.00,1.05,"3,350","26,000.00",50,"2,429.05","2,435.40",100,-68.40,"2,425.15",42.47,317,-269,"3,661",
,"1,25,058","16,648","40,453",34.75,1.00,-,500,0.95,1.00,"16,300","27,000.00",100,"3,421.55","3,433.15",25,-51.30,"3,436.90",61.12,121,-43,"3,377",
